,City,Country,Major_Geo_Region,HDI_level,Climate_region,WHO_region,annual_avg_2010,peak_NDVI_2010,annual_weight_avg_2010,peak_weight_2010,indicator_2010,annual_avg_2015,peak_NDVI_2015,annual_weight_avg_2015,indicator_2015,peak_weight_2015,annual_avg_2020,peak_NDVI_2020,annual_weight_avg_2020,peak_weight_2020,indicator_2020,annual_avg_2021,peak_NDVI_2021,annual_weight_avg_2021,indicator_2021,peak_weight_2021
1,Aba,Nigeria,Africa,Low,Tropical,Africa,0.17947257,0.254984733,0.150524293,0.210538283,Very Low,0.314663547,0.395923974,0.292112373,Low,0.359606176,0.238542445,0.280348788,0.22361482,0.265769671,Very Low,0.21926651,0.278937239,0.192553901,Very Low,0.238003992
2,Abbottabad,Pakistan,Asia,Medium,Temperate,Eastern Mediterranean,0.318517446,0.399606931,0.318230656,0.39992968,Low,0.374390721,0.433512368,0.373703742,Moderate,0.432944302,0.368792717,0.430453001,0.368148135,0.429825596,Moderate,0.320043298,0.376396543,0.319374845,Low,0.375921531
3,Abeokuta,Nigeria,Africa,Low,Tropical,Africa,0.192003003,0.195238432,0.088384204,0.177250273,Exceptionally Low,0.284261806,0.321656805,0.184130779,Very Low,0.273224654,0.274827981,0.370795774,0.188350699,0.344079407,Low,0.303764581,0.36403167,0.278485917,Low,0.334231048
4,Abidjan,Cote d'Ivoire,Africa,Low,Tropical,Africa,0.194511466,0.225795946,0.160152651,0.179668101,Exceptionally Low,0.202205707,0.237470342,0.170071047,Very Low,0.20089725,0.178509822,0.227371313,0.155225375,0.198157308,Exceptionally Low,0.172206647,0.203664383,0.148040777,Exceptionally Low,0.170169293
5,Abu Dhabi,United Arab Emirates,Asia,Very high,Arid,Eastern Mediterranean,0.059600409,0.073637406,0.051374681,0.065293121,Exceptionally Low,0.09454789,0.100465515,0.095737628,Exceptionally Low,0.101854504,0.097716329,0.100514681,0.099150305,0.102052159,Exceptionally Low,0.094218862,0.098936144,0.095537725,Exceptionally Low,0.100185003
6,Abuja,Nigeria,Africa,Low,Tropical,Africa,0.236767782,0.332187197,0.176193982,0.331932083,Low,0.217463406,0.348363487,0.216782281,Low,0.347890644,0.255833866,0.318851853,0.254444109,0.317107867,Low,0.22946789,0.325238351,0.229184029,Low,0.324881184
7,Acapulco,Mexico,Latin America and the Caribbean,High,Tropical,Americas,0.308427718,0.349273815,0.267172633,0.305433288,Low,0.373147178,0.455155579,0.336557849,Moderate,0.410063966,0.373782308,0.415604901,0.332541828,0.370894312,Low,0.356670057,0.434440643,0.310865921,Low,0.388676754
8,Accra,Ghana,Africa,Medium,Tropical,Africa,0.141513699,0.149271401,0.056115119,0.119436066,Exceptionally Low,0.209783442,0.281178827,0.193415992,Very Low,0.256462873,0.22923197,0.274246564,0.211042653,0.255493448,Very Low,0.225534297,0.261382708,0.202955005,Very Low,0.240195844
9,Ad Da'ein,Sudan,Africa,Low,Arid,Eastern Mediterranean,0.139855702,0.154213136,0.099358586,0.143415283,Exceptionally Low,0.217458858,0.259136479,0.217768158,Very Low,0.259165525,0.207246376,0.24201014,0.207341778,0.24215318,Very Low,0.231306487,0.292866478,0.231661351,Very Low,0.293858882
10,Ad Diwaniyah,Iraq,Asia,Medium,Arid,Eastern Mediterranean,0.093546834,0.108029167,0.0690855,0.1026212,Exceptionally Low,0.123513561,0.131825077,0.12370753,Exceptionally Low,0.132203801,0.124003488,0.133780131,0.123681287,0.133575843,Exceptionally Low,0.122786102,0.134318802,0.122401736,Exceptionally Low,0.133826127
11,Adana,Turkey,Asia,Very high,Temperate,Europe,0.2140134,0.243510241,0.180345095,0.270947276,Very Low,0.231353263,0.255487646,0.251718162,Very Low,0.279376077,0.219870702,0.254724157,0.235703897,0.279980904,Very Low,0.219248735,0.236156865,0.236588865,Very Low,0.256141449
12,Addis Ababa,Ethiopia,Africa,Low,Temperate,Africa,0.263836944,0.311438823,0.170293016,0.259479811,Very Low,0.269862579,0.329487624,0.240860115,Very Low,0.289029133,0.255939798,0.277000256,0.229791602,0.244935391,Very Low,0.248240843,0.280328681,0.227422542,Very Low,0.248259674
13,Adelaide,Australia,Oceania,Very high,Arid,Western Pacific,0.228858501,0.288656304,0.233608344,0.282164077,Very Low,0.264643996,0.285159432,0.271803798,Very Low,0.293978985,0.254757663,0.287517978,0.261534901,0.301925476,Low,0.272812693,0.304470969,0.281514054,Low,0.313107175
14,Agadir,Morocco,Africa,Medium,Arid,Eastern Mediterranean,0.122211724,0.172997636,0.126379395,0.180887327,Exceptionally Low,0.197964049,0.226743695,0.208165635,Very Low,0.236768175,0.13991236,0.15343294,0.151666175,0.165118697,Exceptionally Low,0.158381874,0.194791121,0.169047358,Very Low,0.203724498
15,Agartala,India,Asia,Medium,Tropical,South-East Asia,0.351169486,0.516851793,0.262956346,0.51345548,High,0.439020991,0.524007787,0.440031751,High,0.5228821,0.418739486,0.489097764,0.417519123,0.484878383,Moderate,0.425110901,0.541359494,0.424657336,High,0.541632853
16,Agra,India,Asia,Medium,Arid,South-East Asia,0.184805916,0.271386465,0.180396882,0.277177652,Very Low,0.259581546,0.296646099,0.263446722,Low,0.300158301,0.276760264,0.286840747,0.280525319,0.290755559,Very Low,0.261695691,0.324059023,0.264205168,Low,0.327571725
17,Aguascalientes,Mexico,Latin America and the Caribbean,High,Arid,Americas,0.156395265,0.184637206,0.126105652,0.147658916,Exceptionally Low,0.217109884,0.265643066,0.180443541,Very Low,0.216953074,0.176550681,0.199317907,0.15074054,0.167746499,Exceptionally Low,0.192859295,0.248657873,0.162883321,Very Low,0.207741471
18,Ahmadnagar,India,Asia,Medium,Arid,South-East Asia,0.291628583,0.40951245,0.19192465,0.301741919,Low,0.290977006,0.358346813,0.290928456,Low,0.357641708,0.356998495,0.44847331,0.35656343,0.448600983,Moderate,0.318626499,0.369484726,0.318031012,Low,0.368942693
19,Ahmedabad,India,Asia,Medium,Arid,South-East Asia,0.162410899,0.202957271,0.141746267,0.172076717,Exceptionally Low,0.216859897,0.253829395,0.189508354,Very Low,0.218238283,0.225041054,0.25568656,0.200728549,0.226022772,Very Low,0.220350296,0.251733912,0.194464075,Very Low,0.21998359
20,Ahwaz,Islamic Republic of Iran,Asia,High,Arid,Eastern Mediterranean,0.08866135,0.101520442,0.071704352,0.089108767,Exceptionally Low,0.122276922,0.132568658,0.122380619,Exceptionally Low,0.132814367,0.128436967,0.134098608,0.128912676,0.134437887,Exceptionally Low,0.131688869,0.137069526,0.13224303,Exceptionally Low,0.137957943
21,Ajmer,India,Asia,Medium,Arid,South-East Asia,0.167309796,0.266714116,0.164345332,0.266780637,Very Low,0.26212168,0.306475901,0.260932327,Low,0.304673563,0.30613956,0.397865186,0.306459421,0.39833586,Low,0.285827579,0.354201937,0.285640392,Low,0.354181394
22,Akola,India,Asia,Medium,Arid,South-East Asia,0.195870418,0.26916496,0.183841498,0.267104457,Very Low,0.289596894,0.334188506,0.288922187,Low,0.333786673,0.292393614,0.344838616,0.291240098,0.344056239,Low,0.313559683,0.428293366,0.312455532,Moderate,0.42683654
23,Akure,Nigeria,Africa,Low,Tropical,Africa,0.272028685,0.34432361,0.191616781,0.305215842,Low,0.307543341,0.347452697,0.229036681,Low,0.344565782,0.284691764,0.359230749,0.279075236,0.355631488,Low,0.271523553,0.370595621,0.201251629,Low,0.368015968
24,Al Ain,United Arab Emirates,Asia,Very high,Arid,Eastern Mediterranean,0.116887851,0.130463159,0.075090844,0.087440623,Exceptionally Low,0.163339406,0.175585507,0.121624258,Exceptionally Low,0.128203649,0.166454447,0.173112565,0.133132012,0.137747416,Exceptionally Low,0.162549394,0.174771176,0.128954275,Exceptionally Low,0.137788052
25,Al Ismailiya,Egypt,Africa,High,Arid,Eastern Mediterranean,0.195414337,0.208629108,0.093609823,0.130824598,Exceptionally Low,0.229920424,0.244552943,0.163491069,Exceptionally Low,0.175545877,0.213504945,0.226804207,0.164963351,0.173152405,Exceptionally Low,0.214148271,0.22454946,0.158540946,Exceptionally Low,0.171330262
26,Al Managil,Sudan,Africa,Low,Arid,Eastern Mediterranean,0.114665685,0.149593933,0.114343253,0.14940354,Exceptionally Low,0.152882721,0.163166384,0.152738607,Exceptionally Low,0.163090254,0.16661224,0.201804391,0.166028692,0.201012275,Very Low,0.159595962,0.187343214,0.158999568,Exceptionally Low,0.18620097
27,Alappuzha,India,Asia,Medium,Tropical,South-East Asia,0.396491577,0.398479828,0.196434401,0.406015383,Moderate,0.479885626,0.541853256,0.488585616,High,0.555005724,0.487712165,0.51892407,0.496426996,0.529791745,High,0.445004233,0.480715064,0.448521522,Moderate,0.486348049
28,Albuquerque,United States of America,Northern America,Very high,Arid,Americas,0.157662769,0.185693542,0.154620357,0.181265744,Exceptionally Low,0.188979107,0.225767321,0.184109785,Very Low,0.21774914,0.180758188,0.213540351,0.175314475,0.206526387,Very Low,0.170212812,0.211888827,0.164430972,Very Low,0.205204691
29,Aleppo,Syrian Arab Republic,Asia,Medium,Arid,Eastern Mediterranean,0.10594542,0.149387819,0.10258465,0.149072097,Exceptionally Low,0.17698081,0.236710592,0.177703139,Very Low,0.236555837,0.175409472,0.213478919,0.174314968,0.211500272,Very Low,0.150821481,0.169473231,0.150217725,Exceptionally Low,0.16853938
30,Alexandria,Egypt,Africa,High,Arid,Eastern Mediterranean,0.185620101,0.232571558,0.15361036,0.17932408,Exceptionally Low,0.228956083,0.234551212,0.1927967,Very Low,0.203592485,0.227500771,0.239204228,0.182782716,0.190573736,Exceptionally Low,0.224378009,0.232392502,0.180507293,Exceptionally Low,0.190331241
